GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
product-service,com.demo.productservice.dto,ProductResponse,0,24,0,0,0,1,0,1,0,1
product-service,com.demo.productservice.dto,ProductRequest,0,15,0,0,0,1,0,1,0,1
product-service,com.demo.productservice.mapper,ProductMapperImpl,104,0,6,0,34,0,7,0,4,0
product-service,com.demo.productservice.exception,GlobalExceptionHandler,16,60,0,0,3,14,1,5,1,5
product-service,com.demo.productservice.exception,ProductNotFoundException,0,5,0,0,0,2,0,1,0,1
product-service,com.demo.productservice.exception,GlobalExceptionHandler.ErrorResponse,0,12,0,0,0,1,0,1,0,1
product-service,com.demo.productservice.controller,ProductController,7,32,0,0,1,7,1,5,1,5
product-service,com.demo.productservice.service.impl,ProductServiceImpl,5,119,0,2,0,24,1,9,1,8
product-service,com.demo.productservice.entity,Product.ProductBuilder,29,46,0,0,0,1,3,7,3,7
product-service,com.demo.productservice.entity,Product,63,28,0,0,14,2,17,2,17,2
product-service,com.demo.productservice,ProductServiceApplication,5,3,0,0,2,1,1,1,1,1
